x(m),y(m),z(m),InvalidFlags,RangeRate(m/S),RangeRateSTD(m/S),RCS(dBm2),MeasurementID,PositivePredictiveValue(%),Classification,MultiTargetProbability(%),ObjectID,AmbiguityFlag,SortIndex
Timestamp_Seconds,588,,,,,,,,,,,,
Timestamp_Nanoseconds,82045000,,,,,,,,,,,,
Origin_Xpos,2.67,,,,,,,,,,,,
Origin_Ypos,0,,,,,,,,,,,,
Origin_Zpos,0.61,,,,,,,,,,,,
Origin_Roll,0,,,,,,,,,,,,
Origin_Pitch,0,,,,,,,,,,,,
Origin_Yaw,0,,,,,,,,,,,,
List_RadVelDomain_Min,-23.54,,,,,,,,,,,,
List_RadVelDomain_Max,23.54,,,,,,,,,,,,
Aln_AzimuthCorrection,0,,,,,,,,,,,,
Aln_ElevationCorrection,0,,,,,,,,,,,,
Aln_Status,ALIGNMENT_NOTOK,,,,,,,,,,,,
List_NumOfDetections,278,,,,,,,,,,,,
x(m),y(m),z(m),InvalidFlags,RangeRate(m/S),RangeRateSTD(m/S),RCS(dBm2),MeasurementID,PositivePredictiveValue(%),Classification,MultiTargetProbability(%),ObjectID,AmbiguityFlag,SortIndex
29.44,-30.53,4.44,0,0,0.25,11,113,100,TraversableUnder,5,10265,100,0
38.54,18.07,-3.85,0,0.01,0.25,2,115,100,TraversableUnder,6,12979,100,0
42.72,4.31,-2.98,0,0.01,0.25,5,114,100,TraversableUnder,10,15357,100,0
44.01,4.14,-3.11,0,0,0.25,4,117,100,TraversableUnder,29,15357,100,0
41.25,17.32,-4.35,0,0,0.25,8,118,100,TraversableUnder,10,28538,100,0
45.02,5.72,-3.85,0,0,0.25,-1,120,100,TraversableUnder,5,15357,100,0
45.21,4.07,-6.09,0,0,0.25,1,119,100,TraversableUnder,22,12341,100,0
35.29,-29.72,3.96,0,0.01,0.25,5,121,100,TraversableUnder,32,21977,100,0
43.3,16.83,-4.43,0,0.01,0.25,-2,124,100,TraversableUnder,5,28538,100,0
44.09,16.51,-4.46,0,0,0.25,5,127,100,TraversableUnder,12,28538,100,0
41.52,22.96,-2.92,0,0.02,0.25,-1,126,100,TraversableUnder,7,17431,70,0
44.7,16.47,-4.53,0,0,0.25,1,125,100,TraversableUnder,8,28538,100,0
47.66,4.42,6.4,0,0.01,0.25,-5,129,100,NoClassification,25,0,0,0
42.04,24.78,-4.32,0,0,0.25,4,130,100,TraversableUnder,3,17431,100,0
45.38,-19.16,-5.46,0,-0.05,0.25,-3,132,100,TraversableUnder,7,2174,100,0
45.97,-19.2,-5.56,0,-0.01,0.25,-4,134,100,TraversableUnder,5,2174,100,0
49.31,-9.97,-4.17,0,-0.05,0.25,-14,133,100,TraversableUnder,16,4511,90,0
50.67,4.8,-3.54,0,-0.02,0.25,-11,135,100,TraversableUnder,42,12341,100,0
34.91,37.16,-4.93,0,-0.01,0.25,0,137,100,NoClassification,62,0,0,0
51.33,4.84,-3.84,0,0,0.25,-12,136,100,TraversableUnder,29,12341,100,0
